Order_ID,Order_Date,Category,Sub_Category,Region,Segment,Sales,Quantity,Profit,Discount
ORD-11337,2023-01-01,Office Supplies,Paper,West,Home Office,302.75,7,88.01,0.2
ORD-11658,2023-01-01,Office Supplies,Art,East,Consumer,43.39,1,12.0,0.1
ORD-11251,2023-01-01,Technology,Accessories,North,Home Office,2108.64,6,289.5,0.0
ORD-10170,2023-01-02,Office Supplies,Paper,South,Corporate,61.23,3,7.45,0.0
ORD-11456,2023-01-02,Technology,Accessories,East,Consumer,856.41,3,138.2,0.0
ORD-10021,2023-01-02,Technology,Phones,South,Corporate,1199.44,3,224.94,0.0
ORD-11486,2023-01-02,Office Supplies,Supplies,East,Consumer,156.12,6,38.89,0.0
ORD-11601,2023-01-03,Office Supplies,Storage,East,Corporate,60.1,1,14.6,0.0
ORD-11047,2023-01-03,Furniture,Chairs,South,Consumer,1141.04,7,87.32,0.3
ORD-10167,2023-01-03,Office Supplies,Paper,West,Consumer,403.32,4,20.67,0.1
ORD-11805,2023-01-03,Technology,Machines,North,Consumer,1223.12,6,76.85,0.0
ORD-11401,2023-01-03,Office Supplies,Art,East,Consumer,73.0,3,22.17,0.1
ORD-12058,2023-01-04,Office Supplies,Storage,East,Corporate,75.15,3,12.05,0.1
ORD-10877,2023-01-04,Technology,Phones,West,Consumer,360.64,2,-11.84,0.1
ORD-10452,2023-01-04,Office Supplies,Binders,North,Corporate,55.21,1,20.45,0.2
ORD-11804,2023-01-05,Office Supplies,Art,West,Home Office,227.42,6,18.27,0.0
ORD-10308,2023-01-05,Technology,Machines,West,Consumer,454.21,2,-10.3,0.0
ORD-11238,2023-01-06,Technology,Accessories,North,Home Office,1367.84,7,240.71,0.15
ORD-11799,2023-01-06,Office Supplies,Paper,East,Home Office,95.54,3,11.32,0.2
ORD-10750,2023-01-07,Office Supplies,Storage,South,Consumer,935.73,7,102.25,0.2
ORD-10889,2023-01-08,Furniture,Chairs,North,Corporate,966.52,5,-211.44,0.1
ORD-10846,2023-01-08,Furniture,Chairs,North,Corporate,1096.52,4,-29.95,0.0
ORD-11928,2023-01-08,Furniture,Bookcases,East,Consumer,141.46,1,8.89,0.15
ORD-11221,2023-01-08,Technology,Phones,West,Corporate,2313.2,7,635.55,0.15
ORD-10755,2023-01-09,Furniture,Tables,North,Home Office,759.8,6,-73.27,0.0
ORD-10449,2023-01-09,Furniture,Bookcases,North,Home Office,911.68,7,51.56,0.15
ORD-10505,2023-01-10,Office Supplies,Storage,North,Corporate,53.95,4,12.38,0.0
ORD-11470,2023-01-10,Technology,Copiers,South,Consumer,862.94,3,140.58,0.0
ORD-10781,2023-01-10,Technology,Accessories,East,Consumer,719.43,3,93.21,0.0
ORD-12182,2023-01-10,Technology,Machines,North,Corporate,1370.44,6,269.87,0.15
ORD-11614,2023-01-11,Technology,Accessories,North,Home Office,1525.11,4,243.93,0.0
ORD-10786,2023-01-11,Technology,Phones,South,Corporate,455.2,1,137.03,0.15
ORD-10454,2023-01-12,Technology,Accessories,North,Home Office,431.15,2,50.84,0.15
ORD-11380,2023-01-12,Furniture,Bookcases,North,Home Office,910.89,4,-49.83,0.0
ORD-10429,2023-01-13,Technology,Phones,East,Corporate,1729.95,7,107.2,0.3
ORD-12023,2023-01-13,Office Supplies,Binders,East,Home Office,353.88,6,117.09,0.0
ORD-10570,2023-01-13,Technology,Phones,West,Corporate,462.53,2,79.09,0.1
ORD-10783,2023-01-13,Office Supplies,Storage,East,Consumer,142.52,6,42.3,0.15
ORD-10406,2023-01-13,Office Supplies,Paper,North,Corporate,142.22,5,43.38,0.15
ORD-11999,2023-01-13,Office Supplies,Storage,North,Corporate,12.14,1,1.66,0.2
ORD-11980,2023-01-13,Technology,Phones,North,Consumer,2172.93,3,486.34,0.0
ORD-10628,2023-01-14,Furniture,Furnishings,South,Corporate,593.74,3,-128.88,0.0
ORD-10988,2023-01-16,Technology,Phones,East,Home Office,1298.44,4,128.52,0.0
ORD-10111,2023-01-17,Office Supplies,Storage,North,Home Office,404.16,6,24.91,0.3
ORD-10317,2023-01-17,Furniture,Bookcases,North,Consumer,268.57,3,26.82,0.1
ORD-10665,2023-01-17,Office Supplies,Art,South,Consumer,161.23,6,45.02,0.0
ORD-11071,2023-01-17,Office Supplies,Paper,North,Consumer,51.76,2,10.88,0.15
ORD-11531,2023-01-17,Technology,Accessories,North,Home Office,311.76,3,13.64,0.3
ORD-10655,2023-01-18,Office Supplies,Supplies,South,Corporate,379.64,7,33.47,0.1
ORD-11294,2023-01-18,Office Supplies,Art,South,Consumer,430.03,4,102.06,0.1
ORD-10095,2023-01-18,Furniture,Tables,South,Corporate,2039.8,6,156.45,0.1
ORD-10312,2023-01-19,Office Supplies,Storage,East,Consumer,38.81,1,3.74,0.3
ORD-11612,2023-01-19,Technology,Copiers,West,Consumer,1159.24,3,332.03,0.1
ORD-10714,2023-01-20,Office Supplies,Storage,West,Consumer,255.82,6,57.61,0.1
ORD-10967,2023-01-20,Technology,Copiers,North,Consumer,913.78,3,266.6,0.0
ORD-11349,2023-01-21,Technology,Copiers,West,Consumer,973.64,5,138.41,0.1
ORD-11113,2023-01-21,Furniture,Tables,South,Consumer,1534.53,7,138.43,0.2
ORD-12198,2023-01-21,Office Supplies,Paper,East,Consumer,174.22,5,48.02,0.15
ORD-11460,2023-01-21,Technology,Copiers,North,Home Office,716.03,2,165.18,0.0
ORD-10994,2023-01-22,Office Supplies,Art,East,Home Office,134.67,5,28.3,0.3
